estrategia,corrida,segundos
liquid,79,0.657
liquid,80,0.61
liquid,81,0.769
liquid,82,0.766
liquid,83,0.651
liquid,84,0.77
liquid,85,0.765
liquid,86,0.654
liquid,87,0.715
liquid,88,0.605
liquid,89,0.68
liquid,90,0.666
liquid,91,0.621
liquid,92,0.631
liquid,93,0.604
liquid,94,0.597
liquid,95,0.705
liquid,96,0.591
liquid,97,0.741
liquid,98,0.673
liquid,99,0.615
liquid,100,0.735
